sku;fecha;udsStock
2;20201127;728
2;20201128;708
2;20201129;680
2;20201130;680
2;20201201;660
2;20201202;640
2;20201203;624
2;20201204;588
2;20201205;556
2;20201206;528
2;20201207;528
2;20201208;496
2;20201209;496
2;20201210;496
2;20201211;476
2;20201212;464
2;20201213;444
2;20201214;444
2;20201215;680
2;20201216;648
2;20201217;600
2;20201218;564
2;20201219;556
2;20201220;544
2;20201221;544
2;20201222;524
2;20201223;492
2;20201224;464
2;20201225;448
2;20201226;448
2;20201227;448
2;20201228;424
2;20201229;700
2;20201230;688
2;20201231;672
2;20210101;660
2;20210102;660
2;20210103;612
2;20210104;612
2;20210105;588
2;20210106;564
2;20210107;564
2;20210108;496
2;20210109;492
2;20210110;460
2;20210111;460
2;20210112;456
2;20210113;428
2;20210114;400
2;20210115;380
2;20210116;368
2;20210117;352
2;20210118;352
2;20210119;328
2;20210120;308
2;20210121;308
2;20210122;296
2;20210123;288
2;20210124;280
2;20210125;280
2;20210126;448
2;20210127;428
2;20210128;428
2;20210129;400
2;20210130;384
2;20210131;376
2;20210201;376
2;20210202;364
2;20210203;352
2;20210204;328
2;20210205;308
2;20210206;296
2;20210207;284
2;20210208;284
2;20210209;224
2;20210210;200
2;20210211;168
2;20210212;152
2;20210213;132
2;20210214;104
2;20210215;104
2;20210216;88
2;20210217;68
2;20210218;48
2;20210219;36
2;20210220;28
2;20210221;24
2;20210222;24
2;20210223;472
2;20210224;472
2;20210225;456
2;20210226;424
2;20210227;400
2;20210228;376
2;20210301;376
2;20210302;368
2;20210303;352
2;20210304;332
2;20210305;320
2;20210306;300
2;20210307;284
2;20210308;284
2;20210309;416
2;20210310;380
2;20210311;372
2;20210312;332
2;20210313;320
2;20210314;292
2;20210315;292
2;20210316;288
2;20210317;276
2;20210318;260
2;20210319;252
2;20210320;240
2;20210321;232
2;20210322;232
2;20210323;784
2;20210324;772
2;20210325;748
2;20210326;736
2;20210327;728
2;20210328;708
2;20210329;708
2;20210330;696
2;20210331;680
2;20210401;656
2;20210402;636
2;20210403;636
2;20210404;620
2;20210405;620
2;20210406;620
2;20210407;588
2;20210408;572
2;20210409;552
2;20210410;536
2;20210411;504
2;20210412;504
2;20210413;460
2;20210414;444
2;20210415;428
2;20210416;384
2;20210417;340
2;20210418;316
2;20210419;316
2;20210420;348
2;20210421;328
2;20210422;304
2;20210423;300
2;20210424;276
2;20210425;256
2;20210426;256
2;20210427;220
2;20210428;168
2;20210429;124
2;20210430;108
2;20210501;76
2;20210502;76
2;20210503;76
2;20210504;48
2;20210505;496
2;20210506;472
2;20210507;456
2;20210508;416
2;20210509;392
2;20210510;392
2;20210511;352
2;20210512;324
2;20210513;272
2;20210514;228
2;20210515;200
2;20210516;144
2;20210517;144
2;20210518;428
2;20210519;416
2;20210520;380
2;20210521;360
2;20210522;340
2;20210523;304
2;20210524;304
2;20210525;304
2;20210526;284
2;20210527;260
2;20210528;240
2;20210529;216
2;20210530;172
6;20201201;324
6;20201202;896
6;20201203;892
6;20201204;876
6;20201205;832
6;20201206;804
6;20201207;804
6;20201208;792
6;20201209;792
6;20201210;780
6;20201211;768
6;20201212;748
6;20201213;720
6;20201214;720
6;20201215;704
6;20201216;692
6;20201217;688
6;20201218;684
6;20201219;668
6;20201220;652
6;20201221;652
6;20201222;652
6;20201223;604
6;20201224;592
6;20201225;576
6;20201226;576
6;20201227;564
6;20201228;564
6;20201229;552
6;20201230;524
6;20201231;504
6;20210101;496
6;20210102;496
6;20210103;456
6;20210104;456
6;20210105;400
6;20210106;384
6;20210107;384
6;20210108;360
6;20210109;336
6;20210110;312
6;20210111;312
6;20210112;264
6;20210113;240
6;20210114;156
