sku;fecha;udsVenta
1;20190102;28
1;20190103;8
1;20190104;8
1;20190105;0
1;20190106;0
1;20190107;24
1;20190108;20
1;20190109;40
1;20190110;32
1;20190111;20
1;20190112;8
1;20190113;0
1;20190114;20
1;20190115;8
1;20190116;20
1;20190117;20
1;20190118;24
1;20190119;20
1;20190120;0
1;20190121;8
1;20190122;8
1;20190123;12
1;20190124;8
1;20190125;12
1;20190126;20
1;20190127;0
1;20190128;24
1;20190129;4
1;20190130;12
1;20190131;48
1;20190201;16
1;20190202;32
1;20190203;0
1;20190204;12
1;20190205;16
1;20190206;4
1;20190207;0
1;20190208;8
1;20190209;16
1;20190210;0
1;20190211;20
1;20190212;36
1;20190213;12
1;20190214;24
1;20190215;48
1;20190216;12
1;20190217;0
1;20190218;12
1;20190219;8
1;20190220;20
1;20190221;16
1;20190222;24
1;20190223;28
1;20190224;0
1;20190225;4
1;20190226;28
1;20190227;36
1;20190228;8
1;20190301;16
1;20190302;8
1;20190303;0
1;20190304;4
1;20190305;8
1;20190306;16
1;20190307;20
1;20190308;16
1;20190309;84
1;20190310;0
1;20190311;36
1;20190312;24
1;20190313;28
1;20190314;32
1;20190315;16
1;20190316;24
1;20190317;0
1;20190318;20
1;20190319;0
1;20190320;0
1;20190321;16
1;20190322;16
1;20190323;36
1;20190324;0
1;20190325;8
1;20190326;20
1;20190327;20
1;20190328;24
1;20190329;24
1;20190330;4
1;20190331;0
1;20190401;16
1;20190402;0
1;20190403;24
1;20190404;8
1;20190405;24
1;20190406;24
1;20190407;0
1;20190408;28
1;20190409;40
1;20190410;32
1;20190411;8
1;20190412;12
1;20190413;20
1;20190414;0
1;20190415;32
1;20190416;20
1;20190417;16
1;20190418;32
1;20190419;0
1;20190420;16
1;20190421;0
1;20190422;0
1;20190423;24
1;20190424;44
1;20190425;40
1;20190426;36
1;20190427;36
1;20190428;0
1;20190429;32
1;20190430;16
1;20190501;0
1;20190502;28
1;20190503;16
1;20190504;12
1;20190505;0
1;20190506;12
1;20190507;24
1;20190508;16
1;20190509;20
1;20190510;20
1;20190511;32
1;20190512;0
1;20190513;80
1;20190514;12
1;20190515;16
1;20190516;0
1;20190517;16
1;20190518;48
1;20190519;0
1;20190520;104
1;20190521;40
1;20190522;20
1;20190523;36
1;20190524;20
1;20190525;32
1;20190526;0
1;20190527;28
1;20190528;20
1;20190529;4
1;20190530;28
1;20190531;24
1;20190601;104
1;20190602;0
1;20190603;4
1;20190604;52
1;20190605;16
1;20190606;60
1;20190607;24
1;20190608;56
1;20190609;0
1;20190610;0
1;20190611;24
1;20190612;36
1;20190613;16
1;20190614;20
1;20190615;32
1;20190616;0
1;20190617;24
1;20190618;12
1;20190619;12
1;20190620;20
1;20190621;0
1;20190622;28
1;20190623;0
1;20190624;0
1;20190625;16
1;20190626;32
1;20190627;4
1;20190628;4
1;20190629;48
1;20190630;4
1;20190701;0
1;20190702;20
1;20190703;44
1;20190704;8
1;20190705;16
1;20190706;20
1;20190707;0
1;20190708;20
1;20190709;24
1;20190710;28
1;20190711;16
1;20190712;0
1;20190713;0
1;20190714;0
1;20190715;0
1;20190716;0
1;20190717;8
1;20190718;0
1;20190719;16
1;20190720;88
1;20190721;0
1;20190722;20
1;20190723;40
1;20190724;32
1;20190725;20
1;20190726;24
1;20190727;56
1;20190728;0
1;20190729;48
1;20190730;24
1;20190731;12
1;20190801;24
1;20190802;20
1;20190803;64
1;20190804;0
1;20190805;32
1;20190806;32
1;20190807;12
1;20190808;28
1;20190809;44
1;20190810;40
1;20190811;0
1;20190812;8
1;20190813;0
1;20190814;0
1;20190815;0
1;20190816;0
1;20190817;20
1;20190818;0
1;20190819;20
1;20190820;48
1;20190821;12
1;20190822;36
1;20190823;48
1;20190824;24
1;20190825;0
1;20190826;20
1;20190827;20
1;20190828;44
1;20190829;52
1;20190830;16
1;20190831;40
1;20190901;0
1;20190902;16
1;20190903;28
1;20190904;28
1;20190905;12
