date;sku;units_sold;stock;is_open;is_holiday;is_prom;units_sold_last_year;units_sold_last_quarter;units_sold_last_month;units_sold_last_week;units_sold_last_52_weeks;units_sold_last_12_weeks;units_sold_last_8_weeks;units_sold_last_4_weeks;units_sold_last_day
2019-01-02;1;28;;1;0;1;;;;;;;;;
2019-01-02;2;28;;1;0;1;;;;;;;;;
2019-01-02;3;44;;1;0;1;;;;;;;;;
2019-01-02;4;16;;1;0;1;;;;;;;;;
2019-01-02;5;40;;1;0;1;;;;;;;;;
2019-01-02;6;28;;1;0;1;;;;;;;;;
2019-01-02;7;12;;1;0;0;;;;;;;;;
2019-01-02;8;40;;1;0;0;;;;;;;;;
2019-01-02;9;16;;1;0;0;;;;;;;;;
2019-01-02;10;28;;1;0;1;;;;;;;;;
2019-01-02;11;24;;1;0;0;;;;;;;;;
2019-01-02;12;28;;1;0;0;;;;;;;;;
2019-01-02;13;12;;1;0;0;;;;;;;;;
2019-01-02;14;28;;1;0;0;;;;;;;;;
2019-01-02;15;24;;1;0;1;;;;;;;;;
2019-01-02;16;4;;1;0;0;;;;;;;;;
2019-01-02;17;20;;1;0;1;;;;;;;;;
2019-01-02;18;4;;1;0;0;;;;;;;;;
2019-01-02;19;24;;1;0;1;;;;;;;;;
2019-01-02;20;12;;1;0;0;;;;;;;;;
2019-01-02;21;16;;1;0;0;;;;;;;;;
2019-01-02;22;8;;1;0;0;;;;;;;;;
2019-01-02;23;8;;1;0;0;;;;;;;;;
2019-01-02;24;16;;1;0;1;;;;;;;;;
2019-01-02;25;8;;1;0;0;;;;;;;;;
2019-01-02;26;24;;1;0;1;;;;;;;;;
2019-01-02;27;36;;1;0;0;;;;;;;;;
2019-01-02;28;24;;1;0;0;;;;;;;;;
2019-01-02;29;24;;1;0;1;;;;;;;;;
2019-01-02;30;8;;1;0;0;;;;;;;;;
2019-01-02;31;20;;1;0;1;;;;;;;;;
2019-01-02;32;8;;1;0;0;;;;;;;;;
2019-01-02;33;24;;1;0;1;;;;;;;;;
2019-01-02;34;16;;1;0;1;;;;;;;;;
2019-01-02;35;20;;1;0;0;;;;;;;;;
2019-01-02;36;12;;1;0;0;;;;;;;;;
2019-01-02;37;24;;1;0;1;;;;;;;;;
2019-01-02;38;16;;1;0;1;;;;;;;;;
2019-01-02;40;24;;1;0;1;;;;;;;;;
2019-01-02;41;12;;1;0;0;;;;;;;;;
2019-01-02;42;8;;1;0;0;;;;;;;;;
2019-01-02;43;24;;1;0;0;;;;;;;;;
2019-01-02;44;16;;1;0;0;;;;;;;;;
2019-01-02;45;24;;1;0;1;;;;;;;;;
2019-01-02;46;32;;1;0;1;;;;;;;;;
2019-01-02;47;24;;1;0;1;;;;;;;;;
2019-01-02;48;4;;1;0;1;;;;;;;;;
2019-01-02;50;16;;1;0;0;;;;;;;;;
2019-01-03;1;8;;1;0;1;;;;;;;;;28.0
2019-01-03;2;52;;1;0;1;;;;;;;;;28.0
2019-01-03;3;28;;1;0;1;;;;;;;;;44.0
2019-01-03;4;28;;1;0;1;;;;;;;;;16.0
2019-01-03;5;20;;1;0;1;;;;;;;;;40.0
2019-01-03;6;12;;1;0;1;;;;;;;;;28.0
2019-01-03;7;4;;1;0;0;;;;;;;;;12.0
2019-01-03;8;16;;1;0;0;;;;;;;;;40.0
2019-01-03;9;4;;1;0;0;;;;;;;;;16.0
2019-01-03;10;4;;1;0;1;;;;;;;;;28.0
2019-01-03;11;20;;1;0;0;;;;;;;;;24.0
2019-01-03;12;8;;1;0;0;;;;;;;;;28.0
2019-01-03;13;12;;1;0;0;;;;;;;;;12.0
2019-01-03;14;24;;1;0;0;;;;;;;;;28.0
2019-01-03;15;56;;1;0;1;;;;;;;;;24.0
2019-01-03;16;12;;1;0;0;;;;;;;;;4.0
2019-01-03;17;28;;1;0;1;;;;;;;;;20.0
2019-01-03;18;12;;1;0;0;;;;;;;;;4.0
2019-01-03;19;8;;1;0;1;;;;;;;;;24.0
2019-01-03;20;28;;1;0;0;;;;;;;;;12.0
2019-01-03;21;12;;1;0;0;;;;;;;;;16.0
2019-01-03;22;28;;1;0;0;;;;;;;;;8.0
2019-01-03;23;12;;1;0;0;;;;;;;;;8.0
2019-01-03;24;8;;1;0;1;;;;;;;;;16.0
2019-01-03;25;24;;1;0;0;;;;;;;;;8.0
2019-01-03;26;36;;1;0;1;;;;;;;;;24.0
2019-01-03;27;16;;1;0;0;;;;;;;;;36.0
2019-01-03;28;16;;1;0;0;;;;;;;;;24.0
2019-01-03;29;0;;1;0;1;;;;;;;;;24.0
2019-01-03;30;8;;1;0;1;;;;;;;;;8.0
2019-01-03;31;4;;1;0;1;;;;;;;;;20.0
2019-01-03;32;20;;1;0;0;;;;;;;;;8.0
2019-01-03;33;12;;1;0;1;;;;;;;;;24.0
2019-01-03;34;0;;1;0;1;;;;;;;;;16.0
2019-01-03;35;0;;1;0;0;;;;;;;;;20.0
2019-01-03;36;32;;1;0;0;;;;;;;;;12.0
2019-01-03;37;8;;1;0;1;;;;;;;;;24.0
2019-01-03;38;24;;1;0;1;;;;;;;;;16.0
2019-01-03;39;8;;1;0;0;;;;;;;;;
2019-01-03;40;4;;1;0;1;;;;;;;;;24.0
2019-01-03;41;12;;1;0;0;;;;;;;;;12.0
2019-01-03;42;4;;1;0;0;;;;;;;;;8.0
2019-01-03;43;4;;1;0;0;;;;;;;;;24.0
2019-01-03;44;16;;1;0;0;;;;;;;;;16.0
2019-01-03;45;12;;1;0;1;;;;;;;;;24.0
2019-01-03;46;4;;1;0;1;;;;;;;;;32.0
2019-01-03;47;8;;1;0;1;;;;;;;;;24.0
2019-01-03;48;4;;1;0;1;;;;;;;;;4.0
2019-01-03;50;20;;1;0;0;;;;;;;;;16.0
2019-01-04;1;8;;1;0;1;;;;;;;;;8.0
2019-01-04;2;56;;1;0;1;;;;;;;;;52.0
2019-01-04;3;32;;1;0;1;;;;;;;;;28.0
2019-01-04;4;32;;1;0;1;;;;;;;;;28.0
2019-01-04;5;16;;1;0;1;;;;;;;;;20.0
2019-01-04;6;24;;1;0;1;;;;;;;;;12.0
2019-01-04;7;4;;1;0;0;;;;;;;;;4.0
2019-01-04;8;20;;1;0;0;;;;;;;;;16.0
2019-01-04;9;4;;1;0;0;;;;;;;;;4.0
2019-01-04;10;16;;1;0;1;;;;;;;;;4.0
2019-01-04;11;28;;1;0;0;;;;;;;;;20.0
2019-01-04;12;12;;1;0;0;;;;;;;;;8.0
2019-01-04;13;8;;1;0;0;;;;;;;;;12.0
2019-01-04;14;16;;1;0;0;;;;;;;;;24.0
2019-01-04;15;40;;1;0;1;;;;;;;;;56.0
2019-01-04;16;8;;1;0;0;;;;;;;;;12.0
2019-01-04;17;24;;1;0;1;;;;;;;;;28.0
2019-01-04;18;8;;1;0;0;;;;;;;;;12.0
2019-01-04;19;20;;1;0;1;;;;;;;;;8.0
2019-01-04;20;4;;1;0;0;;;;;;;;;28.0
2019-01-04;21;12;;1;0;0;;;;;;;;;12.0
2019-01-04;22;20;;1;0;0;;;;;;;;;28.0
2019-01-04;23;4;;1;0;0;;;;;;;;;12.0
2019-01-04;24;12;;1;0;1;;;;;;;;;8.0
2019-01-04;25;4;;1;0;0;;;;;;;;;24.0
2019-01-04;26;32;;1;0;1;;;;;;;;;36.0
2019-01-04;27;24;;1;0;0;;;;;;;;;16.0
2019-01-04;28;32;;1;0;0;;;;;;;;;16.0
2019-01-04;29;24;;1;0;1;;;;;;;;;0.0
2019-01-04;30;8;;1;0;1;;;;;;;;;8.0
2019-01-04;31;4;;1;0;1;;;;;;;;;4.0
2019-01-04;32;28;;1;0;0;;;;;;;;;20.0
2019-01-04;33;0;;1;0;1;;;;;;;;;12.0
2019-01-04;34;28;;1;0;1;;;;;;;;;0.0
2019-01-04;35;12;;1;0;0;;;;;;;;;0.0
2019-01-04;36;4;;1;0;0;;;;;;;;;32.0
2019-01-04;37;12;;1;0;1;;;;;;;;;8.0
2019-01-04;38;16;;1;0;1;;;;;;;;;24.0
2019-01-04;39;16;;1;0;0;;;;;;;;;8.0
2019-01-04;40;12;;1;0;1;;;;;;;;;4.0
2019-01-04;41;24;;1;0;0;;;;;;;;;12.0
2019-01-04;42;8;;1;0;0;;;;;;;;;4.0
2019-01-04;43;0;;1;0;0;;;;;;;;;4.0
2019-01-04;44;0;;1;0;0;;;;;;;;;16.0
2019-01-04;45;8;;1;0;1;;;;;;;;;12.0
2019-01-04;46;4;;1;0;1;;;;;;;;;4.0
2019-01-04;47;4;;1;0;1;;;;;;;;;8.0
2019-01-04;48;16;;1;0;1;;;;;;;;;4.0
2019-01-04;49;16;;1;0;1;;;;;;;;;
2019-01-04;50;16;;1;0;0;;;;;;;;;20.0
2019-01-05;1;0;;1;0;1;;;;;;;;;8.0
2019-01-05;2;16;;1;0;1;;;;;;;;;56.0
2019-01-05;3;36;;1;0;1;;;;;;;;;32.0
2019-01-05;4;20;;1;0;1;;;;;;;;;32.0
2019-01-05;5;44;;1;0;1;;;;;;;;;16.0
2019-01-05;6;16;;1;0;1;;;;;;;;;24.0
2019-01-05;7;4;;1;0;0;;;;;;;;;4.0
2019-01-05;8;16;;1;0;0;;;;;;;;;20.0
2019-01-05;9;8;;1;0;0;;;;;;;;;4.0
2019-01-05;10;12;;1;0;1;;;;;;;;;16.0
2019-01-05;11;32;;1;0;0;;;;;;;;;28.0
2019-01-05;12;12;;1;0;0;;;;;;;;;12.0
2019-01-05;13;4;;1;0;0;;;;;;;;;8.0
2019-01-05;14;4;;1;0;0;;;;;;;;;16.0
2019-01-05;15;12;;1;0;1;;;;;;;;;40.0
2019-01-05;16;4;;1;0;0;;;;;;;;;8.0
2019-01-05;17;12;;1;0;1;;;;;;;;;24.0
2019-01-05;18;12;;1;0;0;;;;;;;;;8.0
2019-01-05;19;16;;1;0;1;;;;;;;;;20.0
2019-01-05;20;0;;1;0;0;;;;;;;;;4.0
2019-01-05;21;8;;1;0;0;;;;;;;;;12.0
2019-01-05;22;8;;1;0;0;;;;;;;;;20.0
2019-01-05;23;0;;1;0;0;;;;;;;;;4.0
2019-01-05;24;32;;1;0;1;;;;;;;;;12.0
2019-01-05;25;4;;1;0;0;;;;;;;;;4.0
2019-01-05;26;24;;1;0;1;;;;;;;;;32.0
2019-01-05;27;0;;1;0;0;;;;;;;;;24.0
2019-01-05;28;20;;1;0;0;;;;;;;;;32.0
2019-01-05;29;20;;1;0;1;;;;;;;;;24.0
2019-01-05;30;16;;1;0;1;;;;;;;;;8.0
2019-01-05;31;4;;1;0;1;;;;;;;;;4.0
2019-01-05;32;16;;1;0;0;;;;;;;;;28.0
2019-01-05;33;12;;1;0;1;;;;;;;;;0.0
2019-01-05;34;4;;1;0;1;;;;;;;;;28.0
2019-01-05;35;24;;1;0;0;;;;;;;;;12.0
2019-01-05;36;12;;1;0;0;;;;;;;;;4.0
2019-01-05;37;8;;1;0;1;;;;;;;;;12.0
2019-01-05;38;8;;1;0;1;;;;;;;;;16.0
2019-01-05;39;12;;1;0;0;;;;;;;;;16.0
2019-01-05;40;8;;1;0;1;;;;;;;;;12.0
2019-01-05;41;28;;1;0;0;;;;;;;;;24.0
2019-01-05;42;8;;1;0;0;;;;;;;;;8.0
2019-01-05;43;4;;1;0;0;;;;;;;;;0.0
2019-01-05;44;24;;1;0;0;;;;;;;;;0.0
2019-01-05;45;24;;1;0;1;;;;;;;;;8.0
2019-01-05;46;20;;1;0;1;;;;;;;;;4.0
2019-01-05;47;72;;1;0;1;;;;;;;;;4.0
2019-01-05;48;20;;1;0;1;;;;;;;;;16.0
2019-01-05;49;0;;1;0;1;;;;;;;;;16.0
2019-01-05;50;8;;1;0;0;;;;;;;;;16.0
2019-01-06;1;0;;0;1;1;;;;;;;;;0.0
2019-01-06;2;0;;0;1;1;;;;;;;;;16.0
2019-01-06;3;0;;0;1;1;;;;;;;;;36.0
2019-01-06;4;0;;0;1;1;;;;;;;;;20.0
2019-01-06;5;0;;0;1;1;;;;;;;;;44.0
2019-01-06;6;0;;0;1;1;;;;;;;;;16.0
2019-01-06;7;0;;0;1;0;;;;;;;;;4.0
2019-01-06;8;0;;0;1;0;;;;;;;;;16.0
2019-01-06;9;0;;0;1;0;;;;;;;;;8.0
